"","label","text"
"1226","spam","You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810"
"1228","spam","Reply with your name and address and YOU WILL RECEIVE BY POST a weeks completely free accommodation at various global locations www.phb1.com ph:08700435505150p"
"1229","ham","So ü'll be submitting da project tmr rite?"
"1230","spam","FREE entry into our £250 weekly comp just send the word ENTER to 84128 NOW. 18 T&C www.textcomp.com cust care 08712405020."
"1235","ham","Lol ok. I'll snatch her purse too."
"1238","ham","How much are we getting?"
"1244","ham","Nobody can decide where to eat and dad wants Chinese"
"1245","ham","No shoot me. I'm in the docs waiting room. :/"
"1248","ham","I do know what u mean,  is the king of not havin credit! I'm goin2bed now. Night night sweet! Only1more sleep!"
"1252","ham","Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear"
"1253","spam","Please CALL 08712402779 immediately as there is an urgent message waiting for you"
"1257","ham","Just wait till end of march when el nino gets himself. Oh."
"1259","ham","Am also doing in cbe only. But have to pay."
"1262","ham","Yo, I'm at my parents' gettin cash. Good news: we picked up a downstem"
"1264","spam","Hungry gay guys feeling hungry and up 4 it, now. Call 08718730555 just 10p/min. To stop texts call 08712460324 (10p/min)"
"1265","ham","Ok. No wahala. Just remember that a friend in need ..."
"1266","ham","I will see in half an hour"
"1268","ham","""Hey sorry I didntgive ya a a bellearlier hunny,just been in bedbut mite go 2 thepub l8tr if uwana mt up?loads a luv Jenxxx."""
"1269","ham","SERIOUSLY. TELL HER THOSE EXACT WORDS RIGHT NOW."
"1270","spam","Can U get 2 phone NOW? I wanna chat 2 set up meet Call me NOW on 09096102316 U can cum here 2moro Luv JANE xx Calls£1/minmoremobsEMSPOBox45PO139WA"
"1271","ham","Tee hee. Off to lecture, cheery bye bye."
"1273","ham","If you still havent collected the dough pls let me know so i can go to the place i sent it to get the control number"
"1275","spam","network operator. The service is free. For T & C's visit 80488.biz"
"1279","ham","Dont put your phone on silent mode ok"
"1288","ham","Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay. Gud mrng"
"1297","ham","TELL HER I SAID EAT SHIT."
"1300","ham","Your daily text from me – a favour this time"
"1301","ham","Great to hear you are settling well. So what's happenin wit ola?"
"1308","spam","Enjoy the jamster videosound gold club with your credits for 2 new videosounds+2 logos+musicnews! get more fun from jamster.co.uk! 16+only Help? call: 09701213186"
"1309","spam","Get 3 Lions England tone, reply lionm 4 mono or lionp 4 poly. 4 more go 2 www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply"
"1310","ham","I jokin oni lar.. Ü busy then i wun disturb ü."
"1312","ham","I.ll always be there, even if its just in spirit. I.ll get a bb soon. Just trying to be sure i need it."
"1313","ham","U r too much close to my heart. If u go away i will be shattered. Plz stay with me."
"1314","ham","I love u 2 babe! R u sure everything is alrite. Is he being an idiot? Txt bak girlie"
"1316","ham","Got but got 2 colours lor. One colour is quite light n e other is darker lor. Actually i'm done she's styling my hair now."
"1317","ham","Whenevr ur sad, Whenevr ur gray, Remembr im here 2 listn 2 watevr u wanna say, Jus walk wid me a little while,&amp; I promise I'll bring back ur smile.:-)"
"1319","spam","Win the newest “Harry Potter and the Order of the Phoenix (Book 5) reply HARRY, answer 5 questions - chance to be the first among readers!"
"1322","ham","Just sent again. Do you scream and moan in bed, princess?"
"1329","spam","Ur balance is now £500. Ur next question is: Who sang 'Uptown Girl' in the 80's ? 2 answer txt ur ANSWER to 83600. Good luck!"
"1330","ham","My exam is for february 4. Wish you a great day."
"1332","ham","Aight no rush, I'll ask jay"
"1333","ham","Good Morning plz call me sir"
"1335","ham","Oh... Icic... K lor, den meet other day..."
"1338","ham","Sweet, we may or may not go to 4U to meet carlos so gauge patty's interest in that"
"1340","ham","Aight sorry I take ten years to shower. What's the plan?"
"1345","ham","Crazy ar he's married. Ü like gd looking guys not me. My frens like say he's korean leona's fave but i dun thk he is. Aft some thinking mayb most prob i'll go."
"1350","ham","Nothing much, chillin at home. Any super bowl plan?"
"1351","spam","FREE2DAY sexy St George's Day pic of Jordan!Txt PIC to 89080 dont miss out, then every wk a saucy celeb!4 more pics c PocketBabe.co.uk 0870241182716 £3/wk"
"1353","ham","Yo theres no class tmrw right?"
"1357","ham","Convey my regards to him"
"1358","ham","U ned to convince him tht its not possible witot hurting his feeling its the main"
"1362","ham","Yo dude guess who just got arrested the other day"
"1364","ham","What does the dance river do?"
"1366","ham","Hey i will be really pretty late... You want to go for the lesson first? I will join you. I'm only reaching tp mrt"
"1367","spam","HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870..k"
"1375","spam","Bears Pic Nick, and Tom, Pete and ... Dick. In fact, all types try gay chat with photo upload call 08718730666 (10p/min). 2 stop texts call 08712460324"
"1376","spam","500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION"
"1378","ham","Auntie huai juan never pick up her phone"
"1379","spam","Double Mins & Double Txt & 1/2 price Linerental on Latest Orange Bluetooth mobiles. Call MobileUpd8 for the very latest offers. 08000839402 or call2optout/LF56"
"1381","spam","No. 1 Nokia Tone 4 ur mob every week! Just txt NOK to 87021. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info"
"1384","ham","Its ok my arm is feeling weak cuz i got a shot so we can go another time"
"1385","ham","Please reserve ticket on saturday eve from chennai to thirunelvali and again from tirunelvali to chennai on sunday eve...i already see in net..no ticket available..i want to book ticket through tackle .."
"1391","ham","Haha... Where got so fast lose weight, thk muz go 4 a month den got effect... Gee,later we go aust put bk e weight."
"1393","ham","Haha just kidding, papa needs drugs"
"1397","ham","Thats cool! I am a gentleman and will treat you with dignity and respect."
"1401","ham","You have registered Sinco as Payee. Log in at icicibank.com and enter URN  &lt;#&gt;  to confirm. Beware of frauds. Do NOT share or disclose URN to anyone."
"1403","ham","Kaiez... Enjoy ur tuition... Gee... Thk e second option sounds beta... I'll go yan jiu den msg u..."
"1405","ham","cool. We will have fun practicing making babies!"
"1406","ham","Actually getting ready to leave the house."
"1408","spam","URGENT, IMPORTANT INFORMATION FOR O2 USER. TODAY IS YOUR LUCKY DAY! 2 FIND OUT WHY LOG ONTO HTTP://WWW.URAWINNER.COM THERE IS A FANTASTIC SURPRISE AWAITING FOR YOU"
"1411","ham","Where at were hungry too"
"1414","ham","Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da."
"1415","spam","Dear U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18 yrs"
"1424","spam","Congratulations ur awarded either £500 of CD gift vouchers & Free entry 2 our £100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com 1 win150ppmx3age16"
"1426","ham","Yes.. now only saw your message.."
"1427","ham","I'll be at mu in like  &lt;#&gt;  seconds"
"1431","spam","For sale - arsenal dartboard. Good condition but no doubles or trebles!"
"1432","ham","Don't look back at the building because you have no coat and i don't want you to get more sick. Just hurry home and wear a coat to the gym!!!"
"1436","ham","I asked sen to come chennai and search for job."
"1437","ham","Dad went out oredi..."
"1439","ham","Wat so late still early mah. Or we juz go 4 dinner lor. Aiya i dunno..."
"1440","ham","Arms fine, how's Cardiff and uni?"
"1441","ham","In fact when do you leave? I think addie goes back to school tues or wed"
"1445","spam","Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or £250 cash every wk. Txt POD to 84128 Ts&Cs www.textpod.net custcare 08712405020."
"1448","ham","Looks like u wil b getting a headstart im leaving here bout 2.30ish but if u r desperate for my company I could head in earlier-we were goin to meet in rummer."
"1450","spam","As a registered optin subscriber ur draw 4 £100 gift voucher will be entered on receipt of a correct ans to 80062 Whats No1 in the BBC charts"
"1453","ham","Ya! when are ü taking ure practical lessons? I start in june.."
"1457","spam","Summers finally here! Fancy a chat or flirt with sexy singles in yr area? To get MATCHED up just reply SUMMER now. Free 2 Join. OptOut txt STOP Help08714742804"
"1459","spam","CLAIRE here am havin borin time & am now alone U wanna cum over 2nite? Chat now 09099725823 hope 2 C U Luv CLAIRE xx Calls£1/minmoremobsEMSPOBox45PO139WA"
"1461","spam","Bought one ringtone and now getting texts costing 3 pound offering more tones etc"
"1464","spam","09066362231 URGENT! Your mobile No 07xxxxxxxxx won a £2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP!"
"1465","ham","Ok good then i later come find ü... C lucky i told ü to go earlier... Later pple take finish ü no more again..."
"1467","spam","YOU 07801543489 are guaranteed the latests Nokia Phone, a 40GB iPod MP3 player or a £500 prize! Txt word:COLLECT to No:83355! TC-LLC NY-USA 150p/Mt msgrcvd18+"
"1469","ham","I wont touch you with out your permission."
"1470","spam","Hi its LUCY Hubby at meetins all day Fri & I will B alone at hotel U fancy cumin over? Pls leave msg 2day 09099726395 Lucy x Calls£1/minMobsmoreLKPOBOX177HP51FL"
"1472","ham","Take some small dose tablet for fever"
"1474","ham","Just sent you an email – to an address with incomm in it, is that right?"
"1475","ham","Will do, you gonna be at blake's all night? I might be able to get out of here a little early"
"1478","ham","I'm watching lotr w my sis dis aft. So u wan 2 meet me 4 dinner at nite a not?"
"1482","ham","Have you always been saying welp?"
"1486","ham","Sorry, I'll call later"
"1490","ham","Tell them no need to investigate about me anywhere."
"1493","spam","Your account has been credited with 500 FREE Text Messages. To activate, just txt the word: CREDIT to No: 80488 T&Cs www.80488.biz"
"1494","ham","In the end she might still vomit but its okay. Not everything will come out."
"1498","ham","I'm always on yahoo messenger now. Just send the message to me and i.ll get it you may have to send it in the mobile mode sha but i.ll get it. And will reply."
"1501","spam","SMS. ac JSco: Energy is high, but u may not know where 2channel it. 2day ur leadership skills r strong. Psychic? Reply ANS w/question. End? Reply END JSCO"
"1503","spam","HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call"
"1505","ham","Ill be there on  &lt;#&gt;  ok."
"1507","ham","Total video converter free download type this in google search:)"
"1508","spam","Thanks for the Vote. Now sing along with the stars with Karaoke on your mobile. For a FREE link just reply with SING now."
"1509","ham","Wen ur lovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da."
"1512","ham","Pete,is this your phone still? Its Jenny from college and Leanne.what are you up to now?:)"
"1513","ham","Oops sorry. Just to check that you don't mind picking me up tomo at half eight from station. Would that be ok?"
"1514","ham","Hey sweet, I was wondering when you had a moment if you might come to me ? I want to send a file to someone but it won't go over yahoo for them because their connection sucks, remember when you set up that page for me to go to and download the format disc ? Could you tell me how to do that ? Or do you know some other way to download big files ? Because they can download stuff directly from the internet. Any help would be great, my prey ... *teasing kiss*"
"1517","ham","I wonder if you'll get this text?"
"1519","spam","Our brand new mobile music service is now live. The free music player will arrive shortly. Just install on your phone to browse content from the top artists."
"1520","ham","Shall i ask one thing if you dont mistake me."
"1522","spam","URGENT! Your Mobile No was awarded a £2,000 Bonus Caller Prize on 1/08/03! This is our 2nd attempt to contact YOU! Call 0871-4719-523 BOX95QU BT National Rate"
"1524","ham","I thk u dun haf 2 hint in e forum already lor... Cos i told ron n darren is going 2 tell shuhui."
"1527","ham","Pls pls find out from aunt nike."
"1533","ham","Oh dang! I didn't mean o send that to you! Lol!"
"1534","ham","Unfortunately i've just found out that we have to pick my sister up from the airport that evening so don't think i'll be going out at all. We should try to go out one of th"
"1535","ham","Horrible bf... I now v hungry..."
"1536","ham","Remember on that day.."
"1537","spam","You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+"
"1545","spam","Hello from Orange. For 1 month's free access to games, news and sport, plus 10 free texts and 20 photo messages, reply YES. Terms apply: www.orange.co.uk/ow"
"1547","ham","Good afternoon, my love ! Any job prospects ? Are you missing me ? What do you do ? Are you being lazy and bleak, hmmm ? Or happy and filled with my love ?"
"1548","ham","Shant disturb u anymore... Jia you..."
"1549","ham","Bishan lar nearer... No need buy so early cos if buy now i gotta park my car..."
"1550","ham","Me, i dont know again oh"
"1555","ham","Ok how you dear. Did you call chechi"
"1556","ham","Yeah we do totes. When u wanna?"
"1561","ham","Single line with a big meaning::::: ""Miss anything 4 ur ""Best Life"" but, don't miss ur best life for anything... Gud nyt..."
"1563","ham","Dnt worry...use ice pieces in a cloth pack.also take 2 tablets."
"1564","ham","Dude just saw a parked car with its sunroof popped up. Sux"
"1567","ham","The  &lt;#&gt; g that i saw a few days ago, the guy wants sell wifi only for  &lt;#&gt;  and with 3g for  &lt;#&gt; . That's why i blanked him."
"1569","ham","whatever, im pretty pissed off."
"1571","ham","I dont have that much image in class."
"1572","ham","No:-)i got rumour that you going to buy apartment in chennai:-)"
"1574","spam","Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC 08718720201 HG/Suite342/2Lands Row/W1J6HL"
"1575","spam","SMS AUCTION - A BRAND NEW Nokia 7250 is up 4 auction today! Auction is FREE 2 join & take part! Txt NOKIA to 86021 now! HG/Suite342/2Lands Row/W1J6HL"
"1576","ham","My sis is catching e show in e afternoon so i'm not watching w her. So c u wan 2 watch today or tmr lor."
"1579","ham","Remember all those whom i hurt during days of satanic imposter in me.need to pay a price,so be it.may destiny keep me going and as u said pray that i get the mind to get over the same."
"1580","ham","How to Make a girl Happy? It's not at all difficult to make girls happy. U only need to be... 1. A friend 2. Companion 3. Lover 4. Chef . . .  &lt;#&gt; . Good listener  &lt;#&gt; . Organizer  &lt;#&gt; . Good boyfriend  &lt;#&gt; . Very clean  &lt;#&gt; . Sympathetic  &lt;#&gt; . Athletic  &lt;#&gt; . Warm . . .  &lt;#&gt; . Courageous  &lt;#&gt; . Determined  &lt;#&gt; . True  &lt;#&gt; . Dependable  &lt;#&gt; . Intelligent . . .  &lt;#&gt; . Psychologist  &lt;#&gt; . Pest exterminator  &lt;#&gt; . Psychiatrist  &lt;#&gt; . Healer . .  &lt;#&gt; . Stylist  &lt;#&gt; . Driver . . Aaniye pudunga venaam.."
"1582","ham","I shall book chez jules for half eight, if that's ok with you?"
"1586","ham","Sorry, I'll call later"
"1587","ham","I was wondering if it would be okay for you to call uncle john and let him know that things are not the same in nigeria as they r here. That  &lt;#&gt;  dollars is 2years sent and that you know its a strain but i plan to pay back every dime he gives. Every dime so for me to expect anything from you is not practical. Something like that."
"1589","ham","Dont search love, let love find U. Thats why its called falling in love, bcoz U dont force yourself, U just fall and U know there is smeone to hold U... BSLVYL"
"1590","ham","At 4. Let's go to bill millers"
"1594","ham","Will it help if we propose going back again tomorrow"
"1595","spam","PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08719899230 Identifier Code: 41685 Expires 07/11/04"
"1596","ham","Never blame a day in ur life. Good days give u happiness. Bad days give u experience. Both are essential in life! All are Gods blessings! good morning.:"
"1597","ham","Pls confirm the time to collect the cheque."
"1598","spam","As a Registered Subscriber yr draw 4 a £100 gift voucher will b entered on receipt of a correct ans. When are the next olympics. Txt ans to 80062"
"1599","spam","URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm"
"1600","ham","Daddy will take good care of you :)"
"1606","ham","God picked up a flower and dippeditinaDEW, lovingly touched itwhichturnedinto u, and the he gifted tomeandsaid,THIS FRIEND IS 4U"
"1607","ham","When you came to hostel."
"1611","ham","You all ready for * big day tomorrow?"
"1613","ham","645"
"1614","spam","RT-KIng Pro Video Club>> Need help? info@ringtoneking.co.uk or call 08701237397 You must be 16+ Club credits redeemable at www.ringtoneking.co.uk! Enjoy!"
"1615","ham","Thnx dude. u guys out 2nite?"
"1622","ham","Fuck babe, I miss you sooooo much !! I wish you were here to sleep with me ... My bed is so lonely ... I go now, to sleep ... To dream of you, my love ..."
"1623","ham","Living is very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, being 'SIMPLE' is very difficult.. Gud nte.:-"
"1624","spam","U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094599"
"1626","spam","500 free text msgs. Just text ok to 80488 and we'll credit your account"
"1627","ham","Hi Dear Call me its urgnt. I don't know whats your problem. You don't want to work or if you have any other problem at least tell me. Wating for your reply."
"1629","spam","You have been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday Worth £350! To Claim, Call London 02072069400. Bx 526, SW73SS"
"1635","ham","Yesterday its with me only . Now am going home."
"1636","spam","Eerie Nokia tones 4u, rply TONE TITLE to 8007 eg TONE DRACULA to 8007 Titles: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT www.getzed.co.uk POBox36504W45WQ 150p"
"1637","ham","You have come into my life and brought the sun ..Shiny down on me, warming my heart. Putting a constant smile on my face ... Making me feel loved and cared for"
"1638","ham","No shit, but I wasn't that surprised, so I went and spent the evening with that french guy I met in town here and we fooled around a bit but I didn't let him fuck me"
"1639","spam","0A$NETWORKS allow companies to bill for SMS, so they are responsible for their ""suppliers"", just as a shop has to give a guarantee on what they sell. B. G."
"1641","spam","FreeMsg:Feelin kinda lnly hope u like 2 keep me company! Jst got a cam moby wanna c my pic?Txt or reply DATE to 82242 Msg150p 2rcv Hlp 08712317606 stop to 82242"
"1649","ham","Evening * v good if somewhat event laden. Will fill you in, don't you worry … Head * ok but throat * wrecked. See you at six then!"
"1654","spam","For ur chance to win a £250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk"
"1655","ham","I was at bugis juz now wat... But now i'm walking home oredi... Ü so late then reply... I oso saw a top dat i like but din buy... Where r ü now?"
"1660","spam","RGENT! This is the 2nd attempt to contact U!U have WON £1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. max£7. 50"
"1661","ham","Yeah, where's your class at?"
"1662","ham","No just send to you. Bec you in temple na."
"1664","spam","Hi if ur lookin 4 saucy daytime fun wiv busty married woman Am free all next week Chat now 2 sort time 09099726429 JANINExx Calls£1/minMobsmoreLKPOBOX177HP51FL"
"1668","ham","Guess who spent all last night phasing in and out of the fourth dimension"
"1672","ham","Lmao!nice 1"
"1673","ham","Glad to see your reply."
"1674","spam","URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050001295 from land line. Claim A21. Valid 12hrs only"
"1675","spam","Monthly password for wap. mobsi.com is 391784. Use your wap phone not PC."
"1681","ham","Today is ""song dedicated day.."" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me..."
"1684","ham","HI BABE U R MOST LIKELY TO BE IN BED BUT IM SO SORRY ABOUT TONIGHT! I REALLY WANNA SEE U TOMORROW SO CALL ME AT 9. LOVE ME XXX"
"1685","ham","Already am squatting is the new way of walking"
"1687","ham","Cramps stopped. Going back to sleep"
"1688","spam","todays vodafone numbers ending with 0089(my last four digits) are selected to received a £350 award. If your number matches please call 09063442151 to claim your £350 award"
"1689","spam","Free Top ringtone -sub to weekly ringtone-get 1st week free-send SUBPOLY to 81618-?3 per week-stop sms-08718727870"
"1691","ham","Bring tat cd don forget"
"1692","spam","Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone"
"1694","ham","Weightloss! No more girl friends. Make loads of money on ebay or something. And give thanks to God."
"1698","ham","Sorry man, my stash ran dry last night and I can't pick up more until sunday"
"1700","spam","Free msg. Sorry, a service you ordered from 81303 could not be delivered as you do not have sufficient credit. Please top up to receive the service."
"1701","ham","Ok..."
"1707","ham","Yun ah.now ü wkg where?btw if ü go nus sc. Ü wana specialise in wad?"
"1708","ham","Yes! I am a one woman man! Please tell me your likes and dislikes in bed..."
"1710","ham","How's my loverboy doing ? What does he do that keeps him from coming to his Queen, hmmm ? Doesn't he ache to speak to me ? Miss me desparately ?"
"1712","ham","(No promises on when though, haven't even gotten dinner yet)"
"1714","ham","o turns out i had stereo love on mi phone under the unknown album."
"1715","spam","Hard LIVE 121 chat just 60p/min. Choose your girl and connect LIVE. Call 09094646899 now! Cheap Chat UK's biggest live service. VU BCM1896WC1N3XX"
"1718","ham","Sorry about earlier. Putting out fires.Are you around to talk after 9? Or do you actually have a life, lol!"
"1719","spam","WOW! The Boys R Back. TAKE THAT 2007 UK Tour. Win VIP Tickets & pre-book with VIP Club. Txt CLUB to 81303. Trackmarque Ltd info@vipclub4u."
"1725","ham","Hi Jon, Pete here, Ive bin 2 Spain recently & hav sum dinero left, Bill said u or ur rents mayb interested in it, I hav 12,000pes, so around £48, tb, James."
"1726","ham","There bold 2  &lt;#&gt; . Is that yours"
"1727","ham","You know there is. I shall speak to you in  &lt;#&gt;  minutes then"
"1735","spam","Hi, this is Mandy Sullivan calling from HOTMIX FM...you are chosen to receive £5000.00 in our Easter Prize draw.....Please telephone 09041940223 to claim before 29/03/05 or your prize will be transferred to someone else...."
"1738","ham","I will come tomorrow di"
"1739","ham","I cant pick the phone right now. Pls send a message"
"1740","ham","K go and sleep well. Take rest:-)."
"1742","spam","UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise of£2000 CASH 18+only. To opt out txt X to 07786200117"
"1745","ham","I love to wine and dine my lady!"
"1746","spam","Someone has conacted our dating service and entered your phone because they fancy you!To find out who it is call from landline 09111030116. PoBox12n146tf15"
"1747","ham","Im cool ta luv but v.tired 2 cause i have been doin loads of planning all wk, we have got our social services inspection at the nursery! Take care & spk sn x."
"1749","ham","I think u have the wrong number."
"1760","ham","Sorry i'm not free..."
"1761","ham","Do u ever get a song stuck in your head for no reason and it won't go away til u listen to it like 5 times?"
"1765","ham","Joy's father is John. Then John is the NAME of Joy's father. Mandan"
"1766","spam","Hi 07734396839 IBH Customer Loyalty Offer: The NEW NOKIA6600 Mobile from ONLY £10 at TXTAUCTION!Txt word:START to No:81151 & get Yours Now!4T&"
"1768","spam","SMS AUCTION You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+"
"1778","spam","Call FREEPHONE 0800 542 0578 now!"
"1779","spam","Buy Space Invaders 4 a chance 2 win orig Arcade Game console. Press 0 for Games Arcade (std WAP charge) See o2.co.uk/games 4 Terms + settings. No purchase"
"1781","spam","Loan for any purpose £500 - £75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'"
"1782","spam","BIG BROTHER ALERT! The computer has selected u for 10k cash or #150 voucher. Call 09064018838. NTT PO Box CRO1327 18+ BT Landline Cost 150ppm mobiles vary"
"1785","ham","No dear i do have free messages without any recharge. Hi hi hi"
"1794","spam","WIN: We have a winner! Mr. T. Foley won an iPod! More exciting prizes soon, so keep an eye on ur mobile or visit www.win-82050.co.uk"
"1798","ham","Hey, can you tell me blake's address? Carlos wanted me to meet him there but I got lost and he's not answering his phone"
"1799","ham","Can i get your opinion on something first?"
"1800","ham","That one week leave i put know that time. Why."
"1802","ham","excellent. I spent  &lt;#&gt;  years in the Air Force. Iraq and afghanistan. I am stable and honest. do you like traveling?"
"1804","ham","Ok lor thanx... Ü in school?"
"1807","ham","God bless.get good sleep my dear...i will pray!"
"1808","spam","Todays Voda numbers ending 1225 are selected to receive a £50award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app"
"1809","ham","Do have a nice day today. I love you so dearly."
"1810","ham","Aiyo a bit pai seh ü noe... Scared he dun rem who i am then die... Hee... But he become better lookin oredi leh..."
"1813","ham","Do ü all wan 2 meet up n combine all the parts? How's da rest of da project going?"
"1815","ham","Yes we are chatting too."
"1816","ham","HI ITS JESS I DONT KNOW IF YOU ARE AT WORK BUT CALL ME WHEN U CAN IM AT HOME ALL EVE. XXX"
"1817","ham","Sian... Aft meeting supervisor got work 2 do liao... U working now?"
"1818","ham","Are you going to write ccna exam this week??"
"1821","ham","Dunno dat's wat he told me. Ok lor..."
"1822","ham","I'll probably be by tomorrow (or even later tonight if something's going on)"
"1824","ham","If you're thinking of lifting me one then no."
"1825","ham","Same as u... Dun wan... Y u dun like me already ah... Wat u doing now? Still eating?"
"1827","ham","Wat makes some people dearer is not just de happiness dat u feel when u meet them but de pain u feel when u miss dem!!!"
"1828","ham","Dude. What's up. How Teresa. Hope you have been okay. When i didnt hear from these people, i called them and they had received the package since dec  &lt;#&gt; . Just thot you'ld like to know. Do have a fantastic year and all the best with your reading. Plus if you can really really Bam first aid for Usmle, then your work is done."
"1829","ham","Hey gorgeous man. My work mobile number is. Have a good one babe. Squishy Mwahs."
"1831","spam","Hottest pics straight to your phone!! See me getting Wet and Wanting, just for you xx Text PICS to 89555 now! txt costs 150p textoperator g696ga 18 XxX"
"1839","ham","And how's your husband."
"1840","spam","Hack Chat. Get backdoor entry into 121 chat rooms at a fraction of the cost. Reply NEO69 or call 09050280520, to subscribe 25p pm. DPS, Bcm box 8027 Ldn, wc1n3xx"
"1842","ham","Yeah. I got a list with only u and Joanna if I'm feeling really anti social"
"1843","ham","I am in your office na."
"1847","ham","Hi. || Do u want | to join me with sts later? || Meeting them at five. || Call u after class."
"1849","spam","FREE NOKIA Or Motorola with upto 12mths 1/2price linerental, 500 FREE x-net mins&100txt/mth FREE B'tooth*. Call Mobileupd8 on 08001950382 or call 2optout/D3WV"
"1854","spam","This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08718726970 NOW! Only 10p per min. BT-national-rate"
"1859","ham","I hate when she does this. She turns what should be a fun shopping trip into an annoying day of how everything would look in her house."
"1860","ham","Sir, i am waiting for your call."
"1864","ham","The last thing i ever wanted to do was hurt you. And i didn't think it would have. You'd laugh, be embarassed, delete the tag and keep going. But as far as i knew, it wasn't even up. The fact that you even felt like i would do it to hurt you shows you really don't know me at all. It was messy wednesday, but it wasn't bad. The problem i have with it is you HAVE the time to clean it, but you choose not to. You skype, you take pictures, you sleep, you want to go out. I don't mind a few things here and there, but when you don't make the bed, when you throw laundry on top of it, when i can't have a friend in the house because i'm embarassed that there's underwear and bras strewn on the bed, pillows on the floor, that's something else. You used to be good about at least making the bed."
"1865","ham","I'll let you know when it kicks in"
"1866","ham","You call him now ok i said call him"
"1867","ham","Call to the number which is available in appointment. And ask to connect the call to waheed fathima."
"1869","ham","Mmmm ... Fuck ... Not fair ! You know my weaknesses ! *grins* *pushes you to your knee's* *exposes my belly and pulls your head to it* Don't forget ... I know yours too *wicked smile*"
"1871","ham","Mom wants to know where you at"
"1872","ham","Aight, I'll text you when I'm back"
"1873","ham","Dont know supports ass and srt i thnk. I think ps3 can play through usb too"
"1874","ham","Oh ok i didnt know what you meant. Yep i am baby jontin"
"1875","spam","You have WON a guaranteed £1000 cash or a £2000 prize.To claim yr prize call our customer service representative on"
"1876","spam","Would you like to see my XXX pics they are so hot they were nearly banned in the uk!"
"1877","spam","HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com"
"1881","spam","U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094594"
"1885","ham","Come to me, slave. Your doing it again ... Going into your shell and unconsciously avoiding me ... You are making me unhappy :-("
"1888","spam","Dear 0776xxxxxxx U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs"
